56	a	48	57	VUOTO	VUOTO
63	l	55	VUOTO	VUOTO	62
19	t	11	20	27	18
29	j	21	30	37	28
62	b	54	63	VUOTO	61
59	 	51	60	VUOTO	58
6	m	VUOTO	7	14	5
49	a	41	50	57	48
30	 	22	31	38	29
4	r	VUOTO	5	12	3
46	 	38	47	54	45
24	t	16	25	32	VUOTO
1	r	VUOTO	2	9	0
43	e	35	44	51	42
9	n	1	10	17	8
34	A	26	35	42	33
18	i	10	19	26	17
21	 	13	22	29	20
12	J	4	13	20	11
7	m	VUOTO	VUOTO	15	6
0	P	VUOTO	1	8	VUOTO
38	v	30	39	46	37
5	a	VUOTO	6	13	4
32	D	24	33	40	VUOTO
31	I	23	VUOTO	39	30
10	g	2	11	18	9
57	n	49	58	VUOTO	56
23	n	15	VUOTO	31	22
11	 	3	12	19	10
36	e	28	37	44	35
54	m	46	55	62	53
61	u	53	62	VUOTO	60
52	o	44	53	60	51
51	f	43	52	59	50
16	 	8	17	24	VUOTO
28	i	20	29	36	27
45	t	37	46	53	44
33	E	25	34	41	32
37	n	29	38	45	36
25	e	17	26	33	24
60	S	52	61	VUOTO	59
42	m	34	43	50	41
39	i	31	VUOTO	47	38
8	i	0	9	16	VUOTO
58	d	50	59	VUOTO	57
26	l	18	27	34	25
44	n	36	45	52	43
14	v	6	15	22	13
50	t	42	51	58	49
27	l	19	28	35	26
48	l	40	49	56	VUOTO
22	I	14	23	30	21
47	p	39	VUOTO	55	46
53	r	45	54	61	52
40	r	32	41	48	VUOTO
20	h	12	21	28	19
55	 	47	VUOTO	63	54
15	a	7	VUOTO	23	14
41	o	33	42	49	40
3	g	VUOTO	4	11	2
17	w	9	18	25	16
35	 	27	36	43	34
13	a	5	14	21	12
2	o	VUOTO	3	10	1
